Jour,JANVIER,FEVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOUT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DECEMBRE
1,27,4,,3,,3.5,,,,2,,
2,18,4,,9,,,,,,4,,
3,7,8,2,5,,,3.5,,,,,
4,28,,2,6,,,3,,10,,,
5,6,2,,1,,,16,,,,,
6,1,2,2,,,12,,,,7,,
7,,2,4,,,,,23,2,,,
8,,2,9,,,,,1,,,,
9,3,2,4,,,,,16,,,,
10,3,5,8,,,,,,,,,
11,2,2,2,1,,34,,,,2,,
12,,,17,1,,9,,7,,,,
13,,,2,,3,,,6,1,,,
14,,,9,5,2,2,3,,,,,
15,17,3,,1,,,,,,,,
16,11,,,,2,,,,,,,
17,13,,,,,,,4,,,,
18,7,,,,,,,,,,,
19,7,,,,,,,,,,,
20,11,,,,2,,1,2,,,,
21,13,,,,,,,,5,,,
22,6,,6,,4,,,,22,,,
23,8,,,,10,,,,22,,,
24,7,,,,1,,,3,,2,,
25,8,,,,,,,,,,,
26,,,,,,,,5,,2,,
27,,,7,,10,,,4,,,,
28,7,,15,8,40,,,,,,,
29,2,,1,22,2,,,6,,27,,
30,8,,6,8,1,,,,1,22,,
31,13,,2,,,,,,,2,,
